sample_ID	lineage	proportion	coverage
C5YVNP.p1856	BA.2.86* BA.2.86.X	0.8153846118245478	7.126375280072233
C5YVNP.p1856	KP.2* KP.2.X	0.06666666637559175	7.126375280072233
C5YVNP.p1856	Other	0.041025640846518004	7.126375280072233
C5YVNP.p1856	JN.1.7* JN.1.7.X	0.0307692306348885	7.126375280072233
C5YVNP.p1856	JN.1.18* JN.1.18.X	0.02564102552907375	7.126375280072233
C5YVNP.p1856	KP.3* KP.3.X	0.020512820423259002	7.126375280072233
Q6MLVP.p1856	KP.3* KP.3.X	0.5877662318929805	6.270273885563322
Q6MLVP.p1856	BA.2.86* BA.2.86.X	0.41223371989418334	6.270273885563322
FXXL4N.p1856	KP.2* KP.2.X	0.999999999999644	6.25689730127412
VLQ2VK.p1856	BA.2.86* BA.2.86.X	0.7741935336611472	5.514496873223423
VLQ2VK.p1856	KP.2* KP.2.X	0.0967741917076433	5.514496873223423
VLQ2VK.p1856	Other	0.06451612780509554	5.514496873223423
VLQ2VK.p1856	JN.1.18* JN.1.18.X	0.06451612780509554	5.514496873223423
STN934.p1856	KP.2* KP.2.X	0.9999999999997995	5.089790322041266
XTSMHZ.p1856	BA.2.86* BA.2.86.X	0.8069306927563125	6.0896899976590975
XTSMHZ.p1856	KP.2* KP.2.X	0.07425742571377113	6.0896899976590975
XTSMHZ.p1856	Other	0.0594059405710169	6.0896899976590975
XTSMHZ.p1856	JN.1.18* JN.1.18.X	0.02970297028550845	6.0896899976590975
XTSMHZ.p1856	KP.3* KP.3.X	0.02970297028550845	6.0896899976590975
