sample_ID	variant	proportion	coverage
FBC47A.p1831	JN.1.1.1	0.25	9.186369260609304
FBC47A.p1831	JN.1.1	0.25	9.186369260609304
FBC47A.p1831	JN.1	0.25	9.186369260609304
FBC47A.p1831	JN.1.2	0.25	9.186369260609304
HQTPDK.p1831	JN.1.1.1	0.25	10.092632846202722
HQTPDK.p1831	JN.1.1	0.25	10.092632846202722
HQTPDK.p1831	JN.1	0.25	10.092632846202722
HQTPDK.p1831	JN.1.2	0.25	10.092632846202722
FS4NH7.p1831	JN.1.1.1	0.33333333	12.396749490017724
FS4NH7.p1831	JN.1.1	0.33333333	12.396749490017724
FS4NH7.p1831	JN.1	0.33333333	12.396749490017724
