sample_ID	lineage	proportion	coverage
N8YJPL.p1839	BA.2.86* BA.2.86X	0.9999999999987672	16.015115540246796
FBHHZW.p1839	BA.2.86* BA.2.86X	0.9999999983465543	9.915393104370798
CZNT2T.p1839	BA.2.86* BA.2.86X	0.9999999999996434	8.591111259739826
TBVCYC.p1839	BA.2.86* BA.2.86X	0.9999999994824009	9.500718991405545
ZWA52B.p1839	BA.2.86* BA.2.86X	0.7499999999995819	5.514496873223423
ZWA52B.p1839	Other	0.24999999999986064	5.514496873223423
FENU75.p1839	XBB.1.5* Omicron XBB.1.5.X	0.38979591830601457	5.206835434571782
FENU75.p1839	Omicron	0.3204081632148914	5.206835434571782
FENU75.p1839	XBB* XBB.X	0.24489795914513976	5.206835434571782
FENU75.p1839	BA.2.86* BA.2.86X	0.038775510197980374	5.206835434571782
FENU75.p1839	Other	0.006122448978628481	5.206835434571782
