sample_ID	variant	proportion	coverage
HCWZBL.p1835	JN.1.1.1	0.25	7.86543156205063
HCWZBL.p1835	JN.1.1	0.25	7.86543156205063
HCWZBL.p1835	JN.1.2	0.25	7.86543156205063
HCWZBL.p1835	JN.1	0.25	7.86543156205063
JBCFPC.p1835	JN.1.1.1	0.2	5.80209343544126
JBCFPC.p1835	JN.1.1	0.2	5.80209343544126
JBCFPC.p1835	JN.1.2	0.2	5.80209343544126
JBCFPC.p1835	JN.1	0.2	5.80209343544126
JBCFPC.p1835	JN.10	0.2	5.80209343544126
D4QJ7R.p1835	JN.1.2	0.33333333	16.861184496538808
D4QJ7R.p1835	JN.1.1	0.33333333	16.861184496538808
D4QJ7R.p1835	JN.1	0.33333333	16.861184496538808
